i charge it at night and skip taking the cord with me because of the good battery life .|||O O O O O O O O O B-AP O O O O O O B-AP I-AP O
note that i do n't ordinarily take the time to write a review .|||O O O O O O O O O O O O O O
the neat and organized icon list is a welcome change from cluttered and confusing desktop icons .|||O O O O B-AP I-AP O O O O O O O O B-AP I-AP O
i purchased this netbook after my original toshiba laptop crashed right after the warranty expired .|||O O O O O O O O O O O O O B-AP O O
apparently well-aspect2 and gorgeous to look at , the i5 macbook pro is a winning combination of price and performance .|||O O O O O B-AP O O O O O O O O O O O B-AP O B-AP O
asus has done an outstanding job of evolving their netbooks , and i would recommend this to anyone who both understands their needs and how netbooks can fit them .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
the apple care has never failed me , and i expect it to be the same for this computer as well .|||O B-AP I-AP O O O O O O O O O O O O O O O O O O O
buyer beware .|||O O O
it has served my needs quite nicely for the most part .|||O O O O O O O O O O O O
the toshiba laptop i am using is easier to use than most i have tried .|||O O O O O O O O O B-AP O O O O O O
so i called compaq , and after being on the phone for 3 hours , i finally got a replacement which i should n't have had a problem getting since it was under warranty .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O
so we exchanged it for the same on and after 2 hours it did n't work .|||O O O O O O O O O O O O O O O B-AP O
do not buy you will be disappointed .|||O O O O O O O O
i just recently had to ship my laptop back to hp for repair .|||O O O O O O O O O O O O O O
i have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months !|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
we do n't mind and you do n't matter .|||O O O O O O O O O O
i love the size , keyboard , the functions .|||O O O B-AP O B-AP O O B-AP O
but as time went on i found it almost impossible to keep the thing on-line through wi-fi .|||O O O O O O O O O O O O O O O O O O
the mouse is way way way to sensitve .|||O B-AP O O O O O O O
toshiba knows there is a manufacturing defect but will not acknowledge it .|||O O O O O O O O O O O O O
the os is still as fast as the day that the laptop was purchased and continues to run flawlessly .|||O B-AP O O O O O O O O O O O O O O O B-AP O O
also , i issued a replacement rma for a few dead pixels in the upper zone of the screen , which is noticable to me .|||O O O O O O O O O O O O O O O O O O B-AP O O O O O O O
waited on getting this computer , but it has been a great change .|||O O O O O O O O O O O O O O
after way too many times sending the thing in for repairs delivery service was slow , and without the laptop i had no access to the internet , and thus no way of tracking it to find out when i might hope to see my computer again , it finally kicked the bucket after just over 2 years .|||O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
my friend reports the notebook is astonishing in performance , picture quality , and ease of use .|||O O O O O O O O B-AP O B-AP I-AP O O O O B-AP O
the i3 processor does n't seem to run hot and the fan rarely turns on .|||O B-AP I-AP O O O O O O O O B-AP O O O O
i was getting extrememly frustrated when i would want to do these simple taks that i would have to wait and wait and wait for things to download or virus that would clog up my pc .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
enjoy your sitdown|||O O O
the battery never held a charge longer than one hour and within two months , stopped holding a charge for more than ten minutes .|||O B-AP O O O B-AP O O O O O O O O O O O O B-AP O O O O O O
another three weeks later i had my laptop back with a new mousepad , keys , and casing .|||O O O O O O O O O O O O B-AP O B-AP O O B-AP O
i have had my new macbook pro i5 for a couple of days and have recycled all of my old pc laptops .|||O O O O O O O O O O O O O O O O O O O O O O O
see when it comes to laptops you buy it and get just a normal operating system with trials of must need stuff that should come with it .|||O O O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O
the only thing i do n't understand is that the resolution of the screen is n't high enough for some pages , such as yahoo ! mail .|||O O O O O O O O O O B-AP I-AP I-AP I-AP O O O O O O O O O O O O O O
the only thing i wish this had was the option to turn off the touchpad with a button like my big 16 laptop does .|||O O O O O O O O O O O O O O B-AP O O O O O O O O O O
very convenient when you travel and the battery life is excellent .|||O O O O O O O B-AP I-AP O O O
the machine is slow to boot up and occasionally crashes completely .|||O O O O O B-AP I-AP O O O O O
this is great if you have several lectures back to back and do n't have a chance to charge during one of the lectures .|||O O O O O O O O O O O O O O O O O O B-AP O O O O O O
i wish toshiba would allow their customers to select an option that only boots the os at setup and removes all the unnecessary stuff .|||O O O O O O O O O O O O O O O B-AP O O O O O O O O O
at first it 's like you 're in that honeymoon stage with your laptop .|||O O O O O O O O O O O O O O O
i did n't want to buy a generic brand computer but it is really nice .|||O O O O O O O O O O O O O O O O
i can use it for all of my needs .|||O O O O O O O O O O
after doing cad work all day at work , using a higher end pc , i could n't come home and settle for the use of a lower end computer .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
the screen brightness automatically adjusts .|||O B-AP I-AP O O O
i especially like the backlit keyboard .|||O O O O B-AP I-AP O
either way i 'm furious .|||O O O O O O
besides the great look , it is a great machine .|||O O O B-AP O O O O O O O
my laptop cost approximately $ 2,300 and died after only 2-years , 10-months and 18-days of use .|||O O B-AP O O O O O O O O O O O O O O O
the sound is a bit quiet if you 're on a plane , this can easily be overcome with a decent pair of head phones .|||O B-AP O O O O O O O O O O O O O O O O O O O O O O O O
i was not aware that this product can not display websites that contain flash .|||O O O O O O O O O O O O O O O
this computer was bought because i wanted top of the line , fast , reliable , ha .|||O O O O O O O O O O O O O O O O O O
a lot of help they were n't !|||O O O O O O O O
the sata controller is the motherboard chip that lets the cpu talk to the hard drive .|||O B-AP I-AP O O B-AP I-AP O O O B-AP O O O B-AP I-AP O
i will never buy anything from hp again !|||O O O O O O O O O
i ca n't imagine ever buying a pc again !|||O O O O O O O O O O
the buttons you have to press a little harder than most .|||O B-AP O O O O O O O O O O
the battery life was supposed to be 6 hours , but even if i ran off the battery with the high effeciency setting the battery would only last me on average about 25 to 3 hours .|||O B-AP I-AP O O O O O O O O O O O O O O B-AP O O O O O O B-AP O O O O O O O O O O O O
it allows you to automatically upload photos to your facebook account with one click .|||O O O O O O O O O O O O O O O
took it back as it was defective .|||O O O O O O O O
other thoughts , i love newegg , i recommend them to the world however this is just unacceptable .|||O O O O O O O O O O O O O O O O O O O
now 17 months later they want would not say exact amount $ 16500 to $ 400 to fix the machine .|||O O O O O O O O O O O O O O O O O O O O O
i simply got tired of a bad computer like windows with its constant freezing and anti-virus .|||O O O O O O O O O O O O O O O O O
i am not one to throw things like this around but it is a laptop so carrying it around does seem to mean it will be jerked possibly a little , while driving a car and carrying it into where ever you are using it .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
right size and weight for portability .|||O B-AP O B-AP O B-AP O
we decided we would try to trade-in our old ones .|||O O O O O O O O O O O
so far , so good !|||O O O O O O
it took a little over 2 weeks until i got it back .|||O O O O O O O O O O O O O
eventually the screen went blank and the computer would not turn on .|||O O O O O O O O O O O O O
the battery life also does n't keep up with the claim but still i think macbook is much ahead from the rest of the pack .|||O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O
it was loaded with windows vista home premium -- delivered with only 1gb of ram , and it was a *dog* .|||O O O O B-AP I-AP I-AP I-AP O O O O B-AP I-AP I-AP O O O O O O O
what a waste of time it was to run a defrag on the pc !|||O O O O O O O O O O O O O O O
the reflectiveness of the display is only a minor inconvenience if you work in a controlled-lighting environment like me i prefer it dark or if you can crank up the brightness .|||O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O
my one complaint with this laptop is that i 've noticed an electronic fuzz sound coming out of the headphone jack when headphones are plugged in .|||O O O O O O O O O O O O B-AP I-AP I-AP O O O O B-AP I-AP O O O O O O
this system is not worth the money or trouble trying to get it fix .|||O O O O O O O O O O O O O O O
update , two years after buying this laptop , i am now the proud owner of a lemon .|||O O O O O O O O O O O O O O O O O O O
while it was highly rated , would i like it ? i tried the keyboard at the store , and it seemed ok .|||O O O O O O O O O O O O O O B-AP O O O O O O O O O
treat yourself to a more expensive , long-lasting laptop of quality like a sony , apple , or toshiba .|||O O O O O O O O O O B-AP O O O O O O O O O
i love it , never had a computer i was so impressed with , and i 've had a lot of laptops and desktops , this one is far and above the best one i ever had before .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
we did not even have it a year .|||O O O O O O O O O
i have had to call with a few questions or issues and they have helped me for free , even without the warranty .|||O O O O O O O O O O O O O O O O O O O O O O B-AP O
so you out of of notebook and money .|||O O O O O O O O O
was searching online for a power supply when i found this site .|||O O O O O B-AP I-AP O O O O O O
but to be honest , i do n't use my computer for anything like graphics editing and complex data analysis and gaming .|||O O O O O O O O O O O O O O B-AP I-AP O B-AP I-AP I-AP O B-AP O
i would rather spend my money on a computer that costs more then a toshiba that is n't good at all .|||O O O O O O O O O O B-AP O O O O O O O O O O O
no problem with the ordering or shipping by the way .|||O O O O O O B-AP O O O O
and the ram the thing that makes it faster comes sporting 2 gigs for high performance to handle more stuff at once and surf the web a whole lot faster than before .|||O O B-AP O O O O O O O O O O O O B-AP O O O O O O O B-AP I-AP I-AP O O O O O O O
the one thing i wish it had was a detailed hardcopy manuel .|||O O O O O O O O O O B-AP I-AP O
i edit and burn to dvd a lot of video , so i obviously could not live with a non-functioning drive .|||O O O O O O O O O O O O O O O O O O O O B-AP O
fast , great visual !|||O O O B-AP O
it 's priced very reasonable and works very well right out of the box .|||O O B-AP O O O B-AP O O O O O O O O
you will need them if you want to reload the os i recommend doing if you can to start fresh and optimal .|||O O O O O O O O O O B-AP O O O O O O O O O O O O
apple and quess what , you have to send the whole laptop in , too bad , so sad|||O O O O O O O O O O O O O O O O O O O
if you could stretch by a few 100 dollars i highly recommend you should replace your windows laptop with this one .|||O O O O O O O O O O O O O O O O O O O O O O
might have to buy one for me now , since i use it all the time .|||O O O O O O O O O O O O O O O O O
while the keyboard itself is alright , the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons .|||O O B-AP O O O O O B-AP O O O O O O O O O O O O O B-AP I-AP I-AP O
i purchased it this year when my old hp laptop finally died and i was looking for something smaller and lighter than a laptop to carry around for classes and traveling .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
i have a friend who has the other model and we put them side by side with the same dvd in battle of the smithsonian after on hour mine was at 53 % life left and his was at 69 % life left .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
the latest is on my lg netbook x12|||O O O O O O O O
purchased as a gift for a friend .|||O O O O O O O O
i would not recommend the purchase of this modle of toshiba computer or any toshiba product for that matter .|||O O O O O O O O O O O O O O O O O O O O
i 've never had problems with viruses .|||O O O O O O O O
after they found no other way , they told me to courier it to themsince they do n't allow the use of the post office at my expense , and sent me a 4 page list of very specific packaging instructions to follow or it would n't be covered .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
there are so many wonderful features and benefits to the new macbook !|||O O O O O B-AP O O O O O O O
the mcbook pro notebook will make it easy for you to write and read your emails at blazing speeds .|||O O O O O O O O O O O O O O O O O O B-AP O
the only thing i can say is that the touch pad doesnt work like it should all the time .|||O O O O O O O O O B-AP I-AP O O O O O O O O O
however , i love this particular mac because its very fast , great size , and has fantastic features like the lighted keyboard and easy mouse pad .|||O O O O O O O O O O O O O B-AP O O O O B-AP O O B-AP I-AP O O B-AP I-AP O
battery life needs more life .|||B-AP I-AP O O O O
for some odd reasons the computer does n't reconize the operation system .|||O O O O O O O O O O B-AP I-AP O
i had to wait 3 weeks to get it back and it still is not working properly .|||O O O O O O O O O O O O O O O O O O
i am going to go back and return at store i bought from !|||O O O O O O O O O O O O O O
the trackpad was easy to learn and navigate .|||O B-AP O O O O O O O
applications open in seconds and there are no lags , hiccups or awkward moments when you wonder whether your computer is out for tea .|||B-AP O O O O O O O O O O O O O O O O O O O O O O O O
my husband purchased a laptop at the same time for about $ 300 less he got a pc .|||O O O O O O O O O O O O O O O O O O O
i respond that i do not have the old computer and this way i would lose the data on my hard drive .|||O O O O O O O O O O O O O O O O O O O O B-AP I-AP O
again in february my computer completely failed to the point that it could not load windows so i contacted acer to get it fixed thru my warrenty and it took about 3 days fighting on the phone with agents and it seemed as though none of them spoke english .|||O O O O O O O O O O O O O O O B-AP O O O O O O O O O O B-AP O O O O O O O O O O O B-AP O O O O O O O O O O O
i think this ps was manufactured in the mid 90 's .|||O O O O O O O O O O O O
both upgrades were quickly accomplished after purchasing the necessary product key .|||O O O O O O O O O O O O
i have owned it only two months !|||O O O O O O O O
i love my macbook pro !|||O O O O O O
from the moment i opened the box to the present it has been a great joy .|||O O O O O O O O O O O O O O O O O
i bought this emachines notebook pc in january of this year and i am highly dissatisfied with it .|||O O O O O O O O O O O O O O O O O O O
even though the computer is larger they did not make the keyboard larger .|||O O O O O O O O O O O B-AP O O
thanks , macconnection , for making this a seamless purchase !|||O O O O O O O O O O O
we paid for the three year warranty and the extended warranty after that one ended as well .|||O O O O B-AP I-AP I-AP O O B-AP I-AP O O O O O O O
its not just slow on the internet , its slow in general .|||O O O O O O B-AP O O O O O O
it has just enough ram to run smoothly and enough memory to satisfy my needs .|||O O O O B-AP O O O O O B-AP O O O O O
the difference is phenomenal .|||O O O O O
i acually believe the issue is with the nvidia grafics card , but still requires a return .|||O O O O O O O O B-AP I-AP I-AP O O O O O O O
i am a freelance graphic artist .|||O O O O O O O
no waiting to have my claim reviewed by someone in another state or more often , another country .|||O O O O O O O O O O O O O O O O O O O
i did not like my acer .|||O O O O O O O
my husband got me this for chrismas after getting me a very expensve laptop that did not work after 2 days .|||O O O O O O O O O O O O O O O O O B-AP O O O O
problem fixed which is great but there went another two weeks without my laptop at school .|||O O O O O O O O O O O O O O O O O
the resolution is even higher then any other laptop on the market .|||O B-AP O O O O O O O O O O O
then just the other day , my left "mouse" button snapped !|||O O O O O O O B-AP I-AP I-AP O O
it is very easy to type on and feels great , besides the added feature that the keyboard is lighted .|||O O O O O B-AP O O O O O O O O B-AP O O B-AP O O O
laptop is advertised as a 15" but the casing looks like that of a 17" .|||O O O O O B-AP O O B-AP O O O O O B-AP O
remember to do your research first before consider buying a toshiba product .|||O O O O O O O O O O O O O
i bought this laptop the moment unibody product came to the market .|||O O O O O O O O O O O O O
the only time i have restarted is during system updates .|||O O O O O O O O O O O
mac is extremely different than any other laptop .|||O O O O O O O O O
the feel of this machine compared to the old macbook is far superior .|||O B-AP O O O O O O O O O O O O
in due course , i 'll remove the hard disc from this new macbook pro and dump it where it belongs , in the trash .|||O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O O O
it 's great and we will always stick with apple computers , we have been so happy with them .|||O O O O O O O O O O O O O O O O O O O O
i should have realized that trouble was brewing .|||O O O O O O O O O
they break down just as often as pcs do , and the only reason they do n't get viruses , is because no one makes viruses for them , they 're not better in any way , they are worse , try finding virus protection programs for a mac , they do n't exist .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP I-AP I-AP I-AP I-AP I-AP O O O O O O
thank you .|||O O O
the benefits were immediate !|||O O O O O
much faster than my old windows laptop that died on me .|||O O O O O O O O O O O O
never any doubt i would get a macbook , just was n't sure which one .|||O O O O O O O O O O O O O O O O
but with a way bigger screen , and is able to connect to an hdmi .|||O O O O O B-AP O O O O O O O O B-AP O
the graphics are awful and the wireless switch it at the top rather than the side which i am used to it being on the side .|||O B-AP O O O O B-AP I-AP O O O O O O O O O O O O O O O O O O O
the overall build quality of the unit is excellent and she 'd recommend it to anyone else looking for a netbook .|||O O B-AP I-AP O O O O O O O O O O O O O O O O O O
i bought my acer aspire custom made in june 2008 .|||O O O O O O O O O O O
i guess he was the technical person .|||O O O O O B-AP I-AP O
they click .|||O O O
a seventy dollar mouse !|||O O O B-AP O
the repairs were made quickly though i must say , however the second time they shipped it to the incorrect address and it took nearly a week for them to get it to me .|||O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O
i have the a65 , right now it 's a paperweight .|||O O O O O O O O O O O O
when i first got it i thought the size of it was a joke .|||O O O O O O O O B-AP O O O O O O
that being said , it still runs video in full screen decently .|||O O O O O O O O O O O O O
it is fast and i have not had a problem with internet connection or any other problems .|||O O O O O O O O O O O B-AP I-AP O O O O O
i 'm really impressed with the quality and performance for the price of the computer .|||O O O O O O B-AP O B-AP O O B-AP O O O O
but when i received my replacement , i made both recovery dvds 4 , and a driver/application dvd .|||O O O O O O O O O O B-AP I-AP O O O O B-AP I-AP O
in addition , there is photo detection software that will allow you to group all the photos together based upon the people in the picture .|||O O O O O B-AP I-AP I-AP O O O O O O O O O O O O O O O O O O
the speakers are terrible and are probably the cheapest ones i have ever seen in a laptop so if your planning to listen to music i suggest you get something better .|||O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
so then you may be lucky to get ahold to someone who understands that its no good and they will let you send it back , but of course you are taking a chance of them testing it out to see what has happened , and they tell you that it was not on their side , then you are stuck paying for the repair the price of a new one .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O
what 's really great about this product is you may have a family member who is computer illiterate and you can pretty much just let them loose on this computer without any real supervision .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
the lesson learned here is , it does not pay to by this loyal to any brand , since all of them are there to simply to make as much money as possible , as fast as they can , and in this day and age , the customer no longer is right all the times .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
pdf files can be viewed instantly .|||O O O O O O O
dell latitude d620 is not a reliable machine .|||O O O O O O O O O
i have had it for almost four years now and i have only had a few problems with it .|||O O O O O O O O O O O O O O O O O O O O
overall for the money this is a good deal .|||O O O O O O O O O O
it is so simple to use , i use it more than my desktop .|||O O O O O B-AP O O B-AP O O O O O O
i also had a problem with the touchpad that caused the mouse pointer to jump all over the screen .|||O O O O O O O B-AP O O O B-AP I-AP O O O O O B-AP O
i saved for this laptop for 3 months and i can tell you personally it was worth the wait .|||O O O O O O O O O O O O O O O O O O O O
i own a hewlett packard laptop and i 've had man problems with it since i bought in in feb , 201|||O O O O O O O O O O O O O O O O O O O O O O
it has a overheating issue , nearly to the point of being dangerous .|||O O O O O O O O O O O O O O
i have had no problems with it unlike some hardware defects on past models .|||O O O O O O O O O B-AP O O O O O
either way , the keyboard is unsatisfactory .|||O O O O B-AP O O O
well , i have to say since i bought my mac , i wo n't ever go back to any windows .|||O O O O O O O O O O O O O O O O O O O O B-AP O
i took it in to the apple store and guess what ? they fixed it , no cost out of pocket .|||O O O O O O O O O O O O O O O O O B-AP O O O O
i have used different laptops in the past and i have to rate this one way above the rest .|||O O O O O O O O O O O O O O O O O O O O
i love the mac so much better than my work pc !|||O O O O O O O O O O O O
the quality , engineering design and warranty are superior -- covers damage from dropping the laptop .|||O B-AP O B-AP I-AP O B-AP O O O O O O O O O O
i recommend the macbook pro if you want the best laptop on the market .|||O O O O O O O O O O O O O O O
the applications are also very easy to find and maneuver , much easier than any other computer i have ever owned .|||O B-AP O O O O O O O O O O O O O O O O O O O O
the large screen gives you the option to comfortably watch movies or tv shows on your computer instead of buying an additional tv for your dorm room .|||O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O
small and light weight .|||O O O O O
great laptop for school , easy to use for beginners in the hoaspect0hold .|||O O O O O O O B-AP O O O O O O
he did n't work for sony , he was just approved to fix their crappy products .|||O O O O O O O O O O O O O O O O O
4 laptop still did not work , blue screen within a week .|||O O O O O B-AP O O O O O O O
the only thing that is n't perfect about this netbook is the speakers , they are not loud at all but i expected that .|||O O O O O O O O O O O O B-AP O O O O O O O O O O O O
bought for my daughter to take for starting college this fall , she has been on it non-stop ever since learning how to use it .|||O O O O O O O O O O O O O O O O O O O O O O O O O O
never had a single problem , and do n't have to worry about viruses .|||O O O O O O O O O O O O O O O
of course , i inspected the other netbooks and clearly their hinges are tighter and i even demonstrate the difference between my netbook and others .|||O O O O O O O O O O O B-AP O O O O O O O O O O O O O O
not to mention the fact that your mac comes fully loaded with all necessary basic programs .|||O O O O O O O O O O O O O O O B-AP O
did n't work when shipped from walmartcom but went into a store and exchanged for a work laptop same make/model .|||O O B-AP O O O O O O O O O O O O O B-AP O O O O
it is so much fun to play with .|||O O O O O O O O O
if this is an improvement in customer service then i would hate too see what it was before !|||O O O O O O B-AP I-AP O O O O O O O O O O O
*6th week*-they are not responding to my emails asking when they expect to dispatch the new unit .|||O O O O O O O O O O O O O O O O O O
all of the programs keynote , pages , numbers have an option to save your documents as microsoft compatible , which really eliminates the need for the actual .|||O O O B-AP I-AP O B-AP O B-AP O O O O O O O O O O O O O O O O O O O O
sure , the initial out of pocket expense is greater , but that should not dissuade anyone from the fact that these machines run like none other on the planet , and when i factor in all the money in that i wasted on geek squad and the latest patches to de-corrupt my infested pcs , it probably comes out about even anyhow .|||O O O O O O O B-AP O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
the best thing to do is build your own computer , but if u ca n't company 's like dell who allow you to choose the components are better and for the same price you can get a computer who compares to one of apple $ 2000 systems and if you google dell coupons you can find codes that take a signifant amount off the price .|||O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O
there is no cd drive on the computer , which defeats the purpose of keeping files on a cd .|||O O O B-AP I-AP O O O O O O O O O O O O O O O
and toshiba is a quality supplier .|||O O O O O O O
for me i was lucky and a local store was selling them for $ 2000 off and best buy matched their price so i was able to buy one for under $ 1000|||O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O
i ca n't honestly say i was heartbroken .|||O O O O O O O O O
will not every buy another -- -- -- -- lou|||O O O O O O O O O O
unfortunately , apple 's quality has continued to slide .|||O O O O B-AP O O O O O
and finally i realized that mac is the best .|||O O O O O O O O O O
it 's very annoying .|||O O O O O
i 'm hoping that i can find a really quick way to clean it without it getting too gross .|||O O O O O O O O O O O O O O O O O O O O
my only other complaint is that it gets really hot .|||O O O O O O O O O O O
i believe that the quality of a mac is worth the price .|||O O O O B-AP O O O O O O B-AP O
i 'm very disappointed in dell .|||O O O O O O O
sometimes you will be moving your finger and the pointer will not even move .|||O O O O O O O O O B-AP O O O O O
i 've only had mine a day but i 'm already used to it .|||O O O O O O O O O O O O O O O
and that was the fourth time ive sent it to them to get fixed .|||O O O O O O O O O O O O O O O
the 13 macbook pro just fits in my budget and with free shipping and no tax to ca this is the best price we can get for a great product .|||O O O O O O O O B-AP O O O B-AP O O O O O O O O O B-AP O O O O O O O O
i would rate this computer at 5 stars , but considering it has a short life span i can only give it 1 and implore anyone looking at laptops to stay away from this machine .|||O O O O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O O O O O O
i also love the design , the looks , the feel , and the my toshiba feature is wonderfull .|||O O O O B-AP O O B-AP O O B-AP O O O B-AP I-AP I-AP O O O
for me , five stars is not enough .|||O O O O O O O O O
i love how easy every thing is to do on my apple products .|||O O O O O O O O O O O O O O
sadly apple has discontinued this macbook , i think it was never super popular since it fell somewhere in between the cheapest white model and the smaller pros .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
the layout of the macbook is horrible and confusing ;|||O B-AP O O O O O O O O
was not happy with one of the programs on it .|||O O O O B-AP I-AP I-AP I-AP O O O
also it is very good for college students who just need a reliable , easy to use computer .|||O O O O O O O O O O O O O O O O B-AP O O
the first one sent , touchpad did n't work the second sent , usb did n't work the third sent , touchpad did n't work the fourth sent , has n't arrived yet .|||O O O O O B-AP O O O O O O O B-AP O O O O O O O B-AP O O O O O O O O O O O O
i came from the dell laptops and now i am so glad i switched when i needed a new laptop .|||O O O O O O O O O O O O O O O O O O O O O
this is definitely a computer worth the money ;|||O O O O O O O O O
only other thing is that if you are using this for document creation apple doesnt provide any kind of word processor such as works for windows , but iwork is cheap compared to office .|||O O O O O O O O O O O B-AP I-AP O O O O O O B-AP I-AP O O O O B-AP O O B-AP O O O O B-AP O
i am stuck with a laptop that i can not do very much with .|||O O O O O O O O O O O O O O O
it is light and the battery last a very long time .|||O O O O O B-AP O O O O O O
better stick with another brand .|||O O O O O O
i am glad i did my research .|||O O O O O O O O
and at one point , they blame me for installing a bad memory stick when i upgrade my memory for the first time during my purchase of the laptop i bought the memory stick they recomended .|||O O O O O O O O O O O O B-AP O O O O O B-AP O O O O O O O O O O O O O B-AP O O O O
5 months dead again .|||O O O O O
also , you wo n't have to worry about them going onlne a getting a virus .|||O O O O O O O O O O O O O O O O O
very happy .|||O O O
the netbook is easier for me to take to bed and carry around with me .|||O O O O O O O O O O O O O O O O
externally the keys on my keyboard are falling off , after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit , and the screen has a terrible glare .|||O O B-AP O O B-AP O O O O O O O O O B-AP O O O O B-AP I-AP I-AP I-AP I-AP O O O O O O O O O O O B-AP O O O O O
my children wo n't even use it for their school work .|||O O O O O O O O O O O O
this laptop was bad from the first day of use -- -- brought it back to store for return of money .|||O O O O O O O O O O O O O O O O O O O O O O
the next time i had an issue my lightscribe would n't work .|||O O O O O O O O B-AP O O O O
the touchpad is extremely sensitive , which is the only drawback .|||O B-AP O O O O O O O O O O
also it comes with very useful applications like iphoto that it is the best photo application i have ever had|||O O O O O O B-AP O B-AP O O O O O B-AP I-AP O O O O
it has everything i would need for a home computer .|||O O O O O O O O O O O
the computer did what it was not supposed to do , and i did n't know what to do .|||O O O O O O O O O O O O O O O O O O O O
i love this computer .|||O O O O O
they informed me that i had around 7 policies or viruses on it .|||O O O O O O O O O O O O O O
they don t translate from a mac , even on word , resulting in a ton of run-on sentences .|||O O O O O O O O O O B-AP O O O O O O O O O
the acer one computer that i bought is 17 ince screen and its hard to find lap top bags for it , but i like the big screen on it .|||O O O O O O O O B-AP I-AP I-AP O O O O O O O O O O O O O O O O B-AP O O O
summary , they played games with me for the warranty period .|||O O O O O O O O O B-AP I-AP O
i ca n't believe hp put this out .|||O O O O O O O O O
in november my computer messed up entirely and would n't power on after intalling a windows update , i had to have my hd flashed and lost everything on it , including my school assignments and irriplaceable pictures that were only in digital format and several other things , when this update was installed for some reason i was unable to roll back the drivers and everything to an earlier working condition because when the update was installed it deleted my history .|||O O O O O O O O O O O O O O O B-AP I-AP O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O
without a big ol clunky machine in my backpack , i feel like i can do programming homework anywhere .|||O O O O O O O O O O O O O O O O O O O O
i can have both osx and windows xp running at the same time !|||O O O O B-AP O B-AP I-AP O O O O O O
i tell everyone that i know , friends , family and enemies this is the absolute worst computer i have ever used .|||O O O O O O O O O O O O O O O O O O O O O O O
overall , poor , features , average , performance , poor , battery life , excellent , price , poor|||O O O O B-AP O O O B-AP O O O B-AP I-AP O O O B-AP O O
otherwise , i love it !|||O O O O O O
having someone give you a quick tour of how to 's is the best .|||O O O O O O O O O O O O O O O
i have recently converted back to a mac and i could n't be happier !|||O O O O O O O O O O O O O O O
microsoft seems to be unable to keep up with repairs for the multitude of windows problems .|||O O O O O O O O O O O O O O B-AP O O
at 16 months it started shutting off after only 5 or 10 minutes .|||O O O O O O O O O O O O O O
they basically told me that the machine would be problem free now .|||O O O O O O O O O O O O O
i paid about 18000 for this laptop because of all the bells and whistles and it kept crapping out on me .|||O O O O O O O O O O O O O O O O O O O O O O
the graphics are stunning .|||O B-AP O O O
i found a 2gb stick for a bit under $ 50 nice and portable and definitely a decent enough system to keep you entertained while sitting in the airplane for a couple of hours , or at the hotel taking care of some last minute details and documents .|||O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
after much effort and 10 days asus replaced itthe wifi is very weak .|||O O O O O O O O O B-AP O O O O
