i charge it at night and skip taking the cord with me because of the good battery life .|||O O O O O O O O O B-AP O O O O O O B-AP I-AP O
apparently under the screen there are 2 little screws and when the screen gets moved back and forth , they come loose .|||O O O B-AP O O O O O O O O B-AP O O O O O O O O O O
being a pc user my whole life , it 's taking a bit of time to adapt to the os of a mac but i 'm finding my way around .|||O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O
the computer will constantly be getting hot and burning your leg unless you go through the hassle of taking off the entire back of it just to clean out the fan .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O
i have in the past gotten superfine sandpaper and fixed the edges by rounding them off .|||O O O O O O O O O O O B-AP O O O O O
downfalls , sharp edges .|||O O O B-AP O
i needed one to be able to carry to work everyday and this one seems to fit all of the criteria .|||O O O O O O O B-AP O O O O O O O O O O O O O O
the screen is gorgeous , yummy good .|||O B-AP O O O O O O
did i mention everything about it , from size to weight to keyboard screams bulk ?|||O O O O O O O O B-AP O B-AP O B-AP O O O
i had it four months when my disc drive refused to open .|||O O O O O O O B-AP I-AP O O O O
so , after apple replaced the hard drive i enjoyed another 4 months of my new computer , until it froze this morning -- completely .|||O O O O O O B-AP I-AP O O O O O O O O O O O O O O O O O O
once again , i was told it was the suspicious power supply problem .|||O O O O O O O O O O B-AP I-AP O O
the macbook starts fast , does n't crash , has a fantastic display , is small and light i have the 133 model , and is n't always complaining about updates , lost connections , errors , blue screens , etc .|||O O B-AP O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
unable to boot up this brand new laptop .|||O O B-AP I-AP O O O O O
in addition , all the design tools on pages and keynotes makes it much easier to create professional looking documents and presentations .|||O O O O O O O O B-AP O B-AP O O O O O O O O O O O O
i actually had the hard drive replaced twice , the mother board once , the dvd drive twice , then they finally agreed to replace it , all of this in less than 1 1/2 years !|||O O O O B-AP I-AP O O O O B-AP I-AP O O O B-AP I-AP O O O O O O O O O O O O O O O O O O O O
the guy then said that if i insist on having the hinge tightened , they can do it for me but i have to accept the condition after the repair .|||O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O
the port is secured to motherboard so when this happens you ca n't see the plug at all , it 's just gone .|||O B-AP O O O B-AP O O O O O O O O O B-AP O O O O O O O O
i love the feel of the key board , as well as the trackpad .|||O O O O O O B-AP I-AP O O O O O B-AP O
now i have the best of both worlds with all of the power and ease of the mac !|||O O O O O O O O O O O O B-AP O B-AP O O O O
ease of use is just one of the benefits i love about my mac .|||O O B-AP O O O O O O O O O O O O
now the machine wo n't connect and toshiba says that they did replace the connection card in may but they only warranty the repair for 30 days and now i 'm out of warranty even though this has been a constant 5 month occurance since i bought the netbook .|||O O O O O O O O O O O O O O B-AP I-AP O O O O O B-AP O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O
but , buy this model and just purchase 4gb of ram 2x2gb for $ 92 or 1x4gb for $ 99 , and save yourself $ 100 than the other model with 8gb of ram .|||O O O O O O O O B-AP I-AP I-AP O O O O O O O O O O O O O O O O O O O O B-AP I-AP I-AP O
if you 're looking for something to fly through those massive spreadsheets or play a graphics-intensive game , you 'd be better off getting a machine aimed at that segment of the market .|||O O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O
browsing , also , was no problem for me when i used itunes which usually slows down my pc .|||B-AP O O O O O O O O O O O B-AP O O O O O O O
again , decent comp for the price , and i was in need of one quickly as my other laptop died on me .|||O O O O O O B-AP O O O O O O O O O O O O O O O O O
so in a brief summary i would have to say that i would not recommend dell vostro 1000 to anyone due to it being a down right awful setup so in my opinion you should steer clear of them if you want a decent laptop .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O
my friend just had to replace his entire motherboard , so did my wife , and it looks like i will have to as well .|||O O O O O O O O B-AP O O O O O O O O O O O O O O O O O
toshiba customer services will indirectly deal with your problems by constantly tranferring you from one country to another , and i am not kidding you , i called different hours of the day and you 'll get someone else from another country trying to get you to tell them your life story all over again , since they make it sound like they do n't have your history list of your calls right in front of them .|||B-AP I-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
quality display i was surprised with the performance and quality of this hp laptop .|||B-AP I-AP O O O O O B-AP O B-AP O O O O O
the battery life also does n't keep up with the claim but still i think macbook is much ahead from the rest of the pack .|||O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O
the internet capabilities are also very strong and picks up signals very easily .|||O B-AP I-AP O O O O O O O O O O O
its fast , has high definition quality in the videos .|||O O O O B-AP I-AP I-AP O O O O
speakers do n't get that loud , but good enough .|||B-AP O O O O O O O O O O
another great thing is the beast graphics .|||O O O O O B-AP I-AP O
the ease of set up was terrific .|||O O O B-AP I-AP O O O
everything i have tried has worked and i never have to carry the wall charger cause the battery is so awesome .|||O O O O O O O O O O O O O B-AP I-AP O O B-AP O O O O
screen is crystal clear , yes it 's small , but it 's a netbook !|||B-AP O O O O O O O O O O O O O O O
the battery life is probably an hour at best .|||O B-AP I-AP O O O O O O O
this is a review of windows vista system .|||O O O O O B-AP I-AP I-AP O
cosmetically , the only thing they changed was 2 of the function keys at the top .|||O O O O O O O O O O O B-AP I-AP O O O O
but sadly the replacement froze-up while updating the bios again and shut down and would not turn back on .|||O O O O O O O O B-AP O O O O O O O O O O O
there 's literally no way to make it sing with vista .|||O O O O O O O O O O B-AP O
screen size is perfect for portable use in any environment .|||B-AP I-AP O O O O O O O O O
first , it does not have a push button to open the lid .|||O O O O O O O B-AP I-AP O O O B-AP O
i used to build my own desktops from the component parts , and recently my 7 year old pentium 4 with ht 1 gb ram sata desktop stopped working this was a rock star 7 years ago .|||O O O O O O O O O O O O O O O O O O B-AP I-AP O O B-AP I-AP I-AP O O O O O O O O O O O O O
i now realize that my $ 900 would have been better spent on a windows laptop .|||O O O O O O O O O O O O O O B-AP O O
and printing from either word processor is an adventure .|||O O O O B-AP I-AP O O O O
after purchasing this thing , i find out that i need a special interface device to connect my camera , and that it can not be purchased at the store , only on line .|||O O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O O O O O O O
another included program that is laughable is the chess game .|||O B-AP I-AP O O O O O O O O
yes , i thought the expese was a little much , but i now realize you get what you pay for .|||O O O O O B-AP O O O O O O O O O O O O O O O O
it works great for general internet use , microsoft office apps , home bookkeeping , etc .|||O O O O O B-AP I-AP O B-AP I-AP I-AP O O O O O O
the price was very good , and the product is top quality .|||O B-AP O O O O O O O O O B-AP O
it played various games without problems and ran aero smoothly and flawlessly .|||O O O B-AP O O O O B-AP O O O O
after replacing the hard drive the battery stopped working 3 months of use which was frustrating .|||O O O B-AP I-AP O B-AP O O O O O O O O O O
the screen almost looked like a barcode when it froze .|||O B-AP O O O O O O O O O
from the get-go , the m6809 was unsteady in its operation ;|||O O O O O O O O O O B-AP O
its small enough where i can take it pretty much anywhere , but still has a big enough screen to get everything done .|||O O O O O O O O O O O O O O O O O O B-AP O O O O O
it even has a great webcam , and skype works very well .|||O O O O O B-AP O O B-AP O O O O
i love the solid machined aluminum frame , and the keyboard is the best of any laptop i 've used .|||O O O O B-AP I-AP I-AP O O O B-AP O O O O O O O O O O
you can even run a parallels type program easily and run any leftover pc software that you absolutely can not be without .|||O O O O O B-AP I-AP I-AP O O O O O O B-AP O O O O O O O O
this computer i used daily nice compact design .|||O O O O O O O B-AP O
the ati graphics card is a huge plus , definitely a good value if you need to be able to run some slightly older games that a intel built-in card would have trouble with , such as half-life 2 or even world of warcraft .|||O B-AP I-AP I-AP O O O O O O O O O O O O O O O O O O O O B-AP O O B-AP I-AP I-AP O O O O O O O O O O O O O O O
it was hard to handle and operate at school .|||O O O O B-AP O B-AP O O O
it has easy to use features and all the speed and power i could ask for .|||O O O O O B-AP O O O B-AP O B-AP O O O O O
my power supply cord developed exposed wires within the first year of ownership , so it was covered by the applecare warranty plan .|||O B-AP I-AP I-AP O O O O O O O O O O O O O O O O B-AP I-AP I-AP O
i preferred the fit and feel of the 13 inch .|||O O O O O O O O B-AP I-AP O
power supply went bad after 2 weeks --|||B-AP I-AP O O O O O O
the screen takes some getting use to , because it is smaller than the laptop .|||O B-AP O O O O O O O O O O O O O O
i regret buying it before understanding how awful it is to use .|||O O O O O O O O O O O B-AP O
the right speaker did not work .|||O B-AP I-AP O O O O
dealing with the support drone on the other end of the chat was sheer torture .|||O O O B-AP O O O O O O O O O O O O
the final cut pro on this laptop is so fast and easy , and i can use this to seemlessly transfer all my work to my home computer , which is also a mac .|||O B-AP I-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
the computer runs extremely slowly , whether opening word or my computer .|||O O B-AP O O O O O O O O O O
the mac snow leopard o/s is extremely easy to use , although very different than win xp , visa or win7 .|||O B-AP I-AP I-AP I-AP O O O O B-AP O O O O O B-AP I-AP O B-AP O B-AP O
startup in about 30 seconds , shutdown in 2-4 seconds , resume from sleep in 0-2 seconds .|||B-AP O O O O O B-AP O O O O B-AP I-AP I-AP O O O O
the screen is nice and the images comes very clear , the keyboard and the fit just feels right .|||O B-AP O O O O O O O O O O B-AP O O B-AP O O O O
i have only had pcs with windows before so this takes a little getting use to .|||O O O O O O B-AP O O O O O O O O O O
super fast processor and really nice graphics card .|||O O B-AP O O O B-AP I-AP O
but sitting on a lap or on a desk in front of you it looks more than big enough this could be because im used to my lenovo 10 tablet now plus this is a great size if i want to unplug the external keyboard , mouse , and monitor to take it with me when i take photos and video .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O B-AP I-AP O B-AP O O B-AP O O O O O O O O O O O O
the only objection i have is that after you buy it the windows 7 system is a starter and charges for the upgrade .|||O O O O O O O O O O O O B-AP I-AP I-AP O O O O O O O O O
i dislike the weight and size , cubersome .|||O O O B-AP O B-AP O O O
the wheel that turns the volume up and down does n't work in real time .|||O B-AP O O O O O O O O O O O O O O
i can not be happier with the service or product .|||O O O O O O O B-AP O O O
i do transcription work on the side , and the flatline keyboard makes typing quick and easy as well .|||O O O O O O O O O O B-AP I-AP O O O O O O O O
speakers does n't sound that great .|||B-AP O O O O O O
i love windows 7 but i ca n't give toshiba any credit for that , unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time .|||O O B-AP I-AP O O O O O O O O O O O O O O O O B-AP O O O B-AP O O O O O O O O O O O O
after numerous calls to applecare tech support , i was directed to send in my computer ;|||O O O O B-AP I-AP I-AP O O O O O O O O O O
the abuse is that i pushed the power plug in too hard .|||O O O O O O O B-AP I-AP O O O O
the resolution on the screen is almost pure hd .|||O B-AP I-AP I-AP I-AP O O O O O
with all the programs that came with it , such as ilife and iwork , i was set from the very beginning .|||O O O B-AP O O O O O O O B-AP O B-AP O O O O O O O O O
not sure how i recommend it for quality gaming , as i have a desktop rig for that reason .|||O O O O O O O O B-AP O O O O O O O O O O O
great value , fast delivery computer works as if brand new , no problems , very pleased|||O B-AP O O B-AP O O O O O O O O O O O O
the internet explorer was very slow from the very beginning .|||O B-AP I-AP O O O O O O O O
the ac power port becomes loose over time|||O B-AP I-AP I-AP O O O O
as a user of a pc , i will will admit that the macbook pro has a better running system in which i found myself getting the job done quicker .|||O O O O O O O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O
there are no gold key numbers too intall programs , you must use the serial numbers that it does not accept and then things are limited as far a working because they are only good for a short time .|||O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
and they replaced the awesome ergonomic small lightweight power supply with a power supply that weighed more than the machine itself .|||O O O O O O O O B-AP I-AP O O B-AP I-AP O O O O O O O O
enjoy that toshib force and durability unparalleled|||O O O B-AP O B-AP O
which is great i am running vista business and scored a 5x on the index i have never seen a windows machine have a total score in the 5 's .|||O O O O O O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O
i use the computer to basically check emails , surf the web , print coupons and for my college papers .|||O O O O O O O O O B-AP I-AP I-AP O O O O O O O O O
we love the size of the screen , although it is still lightweight and very easy to tote around .|||O O O B-AP I-AP I-AP I-AP O O O O O O O O O O B-AP O O
so the fact that the computer does not work on the 24 twenty fourth day is my fault .|||O O O O O O O O B-AP O O O O O O O O O O
i would definitely reccomend this if you are in the market for an easy to use , stylish , fun , awesome computer .|||O O O O O O O O O O O O O O O B-AP O O O O O O O O
the battery is irreplaceable .|||O B-AP O O O
if you want a little more custom ability , drop a few bucks and upgrade to one of the more robust versions of win 7 and grab a 2gb stick of memory to spice it all up a bit more .|||O O O O O O O O O O O O O O O O O O O O O O O B-AP I-AP O O O B-AP I-AP I-AP I-AP O O O O O O O O O
i have never really been big on downloading anything so i was n't too worried about getting a virus , plus i thought i was protected by norton .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O
the internet was locekd and froze every time it was trying to be used , and the command prompt would not work at all .|||O B-AP O O O O O O O O O O O O O O O B-AP I-AP O O O O O O
it 's software and speed enable it to do amazing things .|||O O B-AP O B-AP O O O O O O O
could not keep up with me and finally the hard drive went out .|||O O O O O O O O O B-AP I-AP O O O
i am most impressed with the programming , including the iphoto .|||O O O O O O B-AP O O O B-AP O
speakers too small to be of any real use .|||B-AP O O O O O O O O O
i upgraded it 's ram to 2gb , i am very happy with it .|||O O O O B-AP O O O O O O O O O O
i purchased a toshiba satellite m60 with harman/kardon speakers ! in december of 2005 .|||O O O O O O O O B-AP O O O O O O
they should have included more memory on their computers if they knew vista would run slowly .|||O O O O O B-AP O O O O O O B-AP O O O O
battery life could be better but overall for the price and toshiba 's reputation for laptops it 's great !|||B-AP I-AP O O O O O O O B-AP O O O O O O O O O O
the battery never held a charge longer than one hour and within two months , stopped holding a charge for more than ten minutes .|||O B-AP O O O B-AP O O O O O O O O O O O O B-AP O O O O O O
after the warrenty expired the hard drive went bad and it would have cost more to fix then to replace .|||O O B-AP O O B-AP I-AP O O O O O O O O O O O O O O
the windows 7 starter is , in my opinion , a great way to think about using your netbook , basics , basics , basics .|||O B-AP I-AP I-AP O O O O O O O O O O O O O O O O O O O O O O
the neat and organized icon list is a welcome change from cluttered and confusing desktop icons .|||O O O O B-AP I-AP O O O O O O O O B-AP I-AP O
i purchased this netbook after my original toshiba laptop crashed right after the warranty expired .|||O O O O O O O O O O O O O B-AP O O
apparently well-aspect2 and gorgeous to look at , the i5 macbook pro is a winning combination of price and performance .|||O O O O O B-AP O O O O O O O O O O O B-AP O B-AP O
the apple care has never failed me , and i expect it to be the same for this computer as well .|||O B-AP I-AP O O O O O O O O O O O O O O O O O O O
the toshiba laptop i am using is easier to use than most i have tried .|||O O O O O O O O O B-AP O O O O O O
so i called compaq , and after being on the phone for 3 hours , i finally got a replacement which i should n't have had a problem getting since it was under warranty .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O
so we exchanged it for the same on and after 2 hours it did n't work .|||O O O O O O O O O O O O O O O B-AP O
i love the size , keyboard , the functions .|||O O O B-AP O B-AP O O B-AP O
the mouse is way way way to sensitve .|||O B-AP O O O O O O O
the os is still as fast as the day that the laptop was purchased and continues to run flawlessly .|||O B-AP O O O O O O O O O O O O O O O B-AP O O
also , i issued a replacement rma for a few dead pixels in the upper zone of the screen , which is noticable to me .|||O O O O O O O O O O O O O O O O O O B-AP O O O O O O O
after way too many times sending the thing in for repairs delivery service was slow , and without the laptop i had no access to the internet , and thus no way of tracking it to find out when i might hope to see my computer again , it finally kicked the bucket after just over 2 years .|||O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
my friend reports the notebook is astonishing in performance , picture quality , and ease of use .|||O O O O O O O O B-AP O B-AP I-AP O O O O B-AP O
the i3 processor does n't seem to run hot and the fan rarely turns on .|||O B-AP I-AP O O O O O O O O B-AP O O O O
the battery never held a charge longer than one hour and within two months , stopped holding a charge for more than ten minutes .|||O B-AP O O O B-AP O O O O O O O O O O O O B-AP O O O O O O
another three weeks later i had my laptop back with a new mousepad , keys , and casing .|||O O O O O O O O O O O O B-AP O B-AP O O B-AP O
see when it comes to laptops you buy it and get just a normal operating system with trials of must need stuff that should come with it .|||O O O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O
the only thing i do n't understand is that the resolution of the screen is n't high enough for some pages , such as yahoo ! mail .|||O O O O O O O O O O B-AP I-AP I-AP I-AP O O O O O O O O O O O O O O
the only thing i wish this had was the option to turn off the touchpad with a button like my big 16 laptop does .|||O O O O O O O O O O O O O O B-AP O O O O O O O O O O
very convenient when you travel and the battery life is excellent .|||O O O O O O O B-AP I-AP O O O
the machine is slow to boot up and occasionally crashes completely .|||O O O O O B-AP I-AP O O O O O
this is great if you have several lectures back to back and do n't have a chance to charge during one of the lectures .|||O O O O O O O O O O O O O O O O O O B-AP O O O O O O
i wish toshiba would allow their customers to select an option that only boots the os at setup and removes all the unnecessary stuff .|||O O O O O O O O O O O O O O O B-AP O O O O O O O O O
the screen brightness automatically adjusts .|||O B-AP I-AP O O O
i especially like the backlit keyboard .|||O O O O B-AP I-AP O
besides the great look , it is a great machine .|||O O O B-AP O O O O O O O
my laptop cost approximately $ 2,300 and died after only 2-years , 10-months and 18-days of use .|||O O B-AP O O O O O O O O O O O O O O O
the sound is a bit quiet if you 're on a plane , this can easily be overcome with a decent pair of head phones .|||O B-AP O O O O O O O O O O O O O O O O O O O O O O O O
the sata controller is the motherboard chip that lets the cpu talk to the hard drive .|||O B-AP I-AP O O B-AP I-AP O O O B-AP O O O B-AP I-AP O
the buttons you have to press a little harder than most .|||O B-AP O O O O O O O O O O
the battery life was supposed to be 6 hours , but even if i ran off the battery with the high effeciency setting the battery would only last me on average about 25 to 3 hours .|||O B-AP I-AP O O O O O O O O O O O O O O B-AP O O O O O O B-AP O O O O O O O O O O O O
right size and weight for portability .|||O B-AP O B-AP O B-AP O
the battery life also does n't keep up with the claim but still i think macbook is much ahead from the rest of the pack .|||O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O
it was loaded with windows vista home premium -- delivered with only 1gb of ram , and it was a *dog* .|||O O O O B-AP I-AP I-AP I-AP O O O O B-AP I-AP I-AP O O O O O O O
the reflectiveness of the display is only a minor inconvenience if you work in a controlled-lighting environment like me i prefer it dark or if you can crank up the brightness .|||O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O
my one complaint with this laptop is that i 've noticed an electronic fuzz sound coming out of the headphone jack when headphones are plugged in .|||O O O O O O O O O O O O B-AP I-AP I-AP O O O O B-AP I-AP O O O O O O
while it was highly rated , would i like it ? i tried the keyboard at the store , and it seemed ok .|||O O O O O O O O O O O O O O B-AP O O O O O O O O O
treat yourself to a more expensive , long-lasting laptop of quality like a sony , apple , or toshiba .|||O O O O O O O O O O B-AP O O O O O O O O O
i have had to call with a few questions or issues and they have helped me for free , even without the warranty .|||O O O O O O O O O O O O O O O O O O O O O O B-AP O
was searching online for a power supply when i found this site .|||O O O O O B-AP I-AP O O O O O O
but to be honest , i do n't use my computer for anything like graphics editing and complex data analysis and gaming .|||O O O O O O O O O O O O O O B-AP I-AP O B-AP I-AP I-AP O B-AP O
i would rather spend my money on a computer that costs more then a toshiba that is n't good at all .|||O O O O O O O O O O B-AP O O O O O O O O O O O
no problem with the ordering or shipping by the way .|||O O O O O O B-AP O O O O
and the ram the thing that makes it faster comes sporting 2 gigs for high performance to handle more stuff at once and surf the web a whole lot faster than before .|||O O B-AP O O O O O O O O O O O O B-AP O O O O O O O B-AP I-AP I-AP O O O O O O O
the one thing i wish it had was a detailed hardcopy manuel .|||O O O O O O O O O O B-AP I-AP O
i edit and burn to dvd a lot of video , so i obviously could not live with a non-functioning drive .|||O O O O O O O O O O O O O O O O O O O O B-AP O
fast , great visual !|||O O O B-AP O
it 's priced very reasonable and works very well right out of the box .|||O O B-AP O O O B-AP O O O O O O O O
you will need them if you want to reload the os i recommend doing if you can to start fresh and optimal .|||O O O O O O O O O O B-AP O O O O O O O O O O O O
while the keyboard itself is alright , the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons .|||O O B-AP O O O O O B-AP O O O O O O O O O O O O O B-AP I-AP I-AP O
there are so many wonderful features and benefits to the new macbook !|||O O O O O B-AP O O O O O O O
the mcbook pro notebook will make it easy for you to write and read your emails at blazing speeds .|||O O O O O O O O O O O O O O O O O O B-AP O
the only thing i can say is that the touch pad doesnt work like it should all the time .|||O O O O O O O O O B-AP I-AP O O O O O O O O O
however , i love this particular mac because its very fast , great size , and has fantastic features like the lighted keyboard and easy mouse pad .|||O O O O O O O O O O O O O B-AP O O O O B-AP O O B-AP I-AP O O B-AP I-AP O
battery life needs more life .|||B-AP I-AP O O O O
for some odd reasons the computer does n't reconize the operation system .|||O O O O O O O O O O B-AP I-AP O
the trackpad was easy to learn and navigate .|||O B-AP O O O O O O O
applications open in seconds and there are no lags , hiccups or awkward moments when you wonder whether your computer is out for tea .|||B-AP O O O O O O O O O O O O O O O O O O O O O O O O
i respond that i do not have the old computer and this way i would lose the data on my hard drive .|||O O O O O O O O O O O O O O O O O O O O B-AP I-AP O
again in february my computer completely failed to the point that it could not load windows so i contacted acer to get it fixed thru my warrenty and it took about 3 days fighting on the phone with agents and it seemed as though none of them spoke english .|||O O O O O O O O O O O O O O O B-AP O O O O O O O O O O B-AP O O O O O O O O O O O B-AP O O O O O O O O O O O
even though the computer is larger they did not make the keyboard larger .|||O O O O O O O O O O O B-AP O O
we paid for the three year warranty and the extended warranty after that one ended as well .|||O O O O B-AP I-AP I-AP O O B-AP I-AP O O O O O O O
its not just slow on the internet , its slow in general .|||O O O O O O B-AP O O O O O O
it has just enough ram to run smoothly and enough memory to satisfy my needs .|||O O O O B-AP O O O O O B-AP O O O O O
i acually believe the issue is with the nvidia grafics card , but still requires a return .|||O O O O O O O O B-AP I-AP I-AP O O O O O O O
my husband got me this for chrismas after getting me a very expensve laptop that did not work after 2 days .|||O O O O O O O O O O O O O O O O O B-AP O O O O
the resolution is even higher then any other laptop on the market .|||O B-AP O O O O O O O O O O O
then just the other day , my left "mouse" button snapped !|||O O O O O O O B-AP I-AP I-AP O O
it is very easy to type on and feels great , besides the added feature that the keyboard is lighted .|||O O O O O B-AP O O O O O O O O B-AP O O B-AP O O O
laptop is advertised as a 15" but the casing looks like that of a 17" .|||O O O O O B-AP O O B-AP O O O O O B-AP O
the feel of this machine compared to the old macbook is far superior .|||O B-AP O O O O O O O O O O O O
in due course , i 'll remove the hard disc from this new macbook pro and dump it where it belongs , in the trash .|||O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O O O
they break down just as often as pcs do , and the only reason they do n't get viruses , is because no one makes viruses for them , they 're not better in any way , they are worse , try finding virus protection programs for a mac , they do n't exist .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP I-AP I-AP I-AP I-AP I-AP O O O O O O
but with a way bigger screen , and is able to connect to an hdmi .|||O O O O O B-AP O O O O O O O O B-AP O
the graphics are awful and the wireless switch it at the top rather than the side which i am used to it being on the side .|||O B-AP O O O O B-AP I-AP O O O O O O O O O O O O O O O O O O O
the overall build quality of the unit is excellent and she 'd recommend it to anyone else looking for a netbook .|||O O B-AP I-AP O O O O O O O O O O O O O O O O O O
i guess he was the technical person .|||O O O O O B-AP I-AP O
a seventy dollar mouse !|||O O O B-AP O
the repairs were made quickly though i must say , however the second time they shipped it to the incorrect address and it took nearly a week for them to get it to me .|||O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O
when i first got it i thought the size of it was a joke .|||O O O O O O O O B-AP O O O O O O
it is fast and i have not had a problem with internet connection or any other problems .|||O O O O O O O O O O O B-AP I-AP O O O O O
i 'm really impressed with the quality and performance for the price of the computer .|||O O O O O O B-AP O B-AP O O B-AP O O O O
but when i received my replacement , i made both recovery dvds 4 , and a driver/application dvd .|||O O O O O O O O O O B-AP I-AP O O O O B-AP I-AP O
in addition , there is photo detection software that will allow you to group all the photos together based upon the people in the picture .|||O O O O O B-AP I-AP I-AP O O O O O O O O O O O O O O O O O O
the speakers are terrible and are probably the cheapest ones i have ever seen in a laptop so if your planning to listen to music i suggest you get something better .|||O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
so then you may be lucky to get ahold to someone who understands that its no good and they will let you send it back , but of course you are taking a chance of them testing it out to see what has happened , and they tell you that it was not on their side , then you are stuck paying for the repair the price of a new one .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O
it is so simple to use , i use it more than my desktop .|||O O O O O B-AP O O B-AP O O O O O O
i also had a problem with the touchpad that caused the mouse pointer to jump all over the screen .|||O O O O O O O B-AP O O O B-AP I-AP O O O O O B-AP O
i have had no problems with it unlike some hardware defects on past models .|||O O O O O O O O O B-AP O O O O O
either way , the keyboard is unsatisfactory .|||O O O O B-AP O O O
well , i have to say since i bought my mac , i wo n't ever go back to any windows .|||O O O O O O O O O O O O O O O O O O O O B-AP O
i took it in to the apple store and guess what ? they fixed it , no cost out of pocket .|||O O O O O O O O O O O O O O O O O B-AP O O O O
the quality , engineering design and warranty are superior -- covers damage from dropping the laptop .|||O B-AP O B-AP I-AP O B-AP O O O O O O O O O O
the applications are also very easy to find and maneuver , much easier than any other computer i have ever owned .|||O B-AP O O O O O O O O O O O O O O O O O O O O
the large screen gives you the option to comfortably watch movies or tv shows on your computer instead of buying an additional tv for your dorm room .|||O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O
great laptop for school , easy to use for beginners in the hoaspect0hold .|||O O O O O O O B-AP O O O O O O
4 laptop still did not work , blue screen within a week .|||O O O O O B-AP O O O O O O O
the only thing that is n't perfect about this netbook is the speakers , they are not loud at all but i expected that .|||O O O O O O O O O O O O B-AP O O O O O O O O O O O O
of course , i inspected the other netbooks and clearly their hinges are tighter and i even demonstrate the difference between my netbook and others .|||O O O O O O O O O O O B-AP O O O O O O O O O O O O O O
not to mention the fact that your mac comes fully loaded with all necessary basic programs .|||O O O O O O O O O O O O O O O B-AP O
did n't work when shipped from walmartcom but went into a store and exchanged for a work laptop same make/model .|||O O B-AP O O O O O O O O O O O O O B-AP O O O O
if this is an improvement in customer service then i would hate too see what it was before !|||O O O O O O B-AP I-AP O O O O O O O O O O O
all of the programs keynote , pages , numbers have an option to save your documents as microsoft compatible , which really eliminates the need for the actual .|||O O O B-AP I-AP O B-AP O B-AP O O O O O O O O O O O O O O O O O O O O
sure , the initial out of pocket expense is greater , but that should not dissuade anyone from the fact that these machines run like none other on the planet , and when i factor in all the money in that i wasted on geek squad and the latest patches to de-corrupt my infested pcs , it probably comes out about even anyhow .|||O O O O O O O B-AP O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
the best thing to do is build your own computer , but if u ca n't company 's like dell who allow you to choose the components are better and for the same price you can get a computer who compares to one of apple $ 2000 systems and if you google dell coupons you can find codes that take a signifant amount off the price .|||O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O
there is no cd drive on the computer , which defeats the purpose of keeping files on a cd .|||O O O B-AP I-AP O O O O O O O O O O O O O O O
for me i was lucky and a local store was selling them for $ 2000 off and best buy matched their price so i was able to buy one for under $ 1000|||O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O
unfortunately , apple 's quality has continued to slide .|||O O O O B-AP O O O O O
i believe that the quality of a mac is worth the price .|||O O O O B-AP O O O O O O B-AP O
sometimes you will be moving your finger and the pointer will not even move .|||O O O O O O O O O B-AP O O O O O
